"","avermelha_reservatorio","batalha_reservatorio","bbonita_reservatorio","capivara_reservatorio","chavantes_reservatorio","emborcacao_reservatorio","itumbiara_reservatorio","jurumirim_reservatorio","marimbondo_reservatorio","saosimao_reservatorio","tresmarias_reservatorio"
"1",0.771,NA,0.811,0.812,0.615,0.402,0.343,0.706,0.773,0.451,0.778
"2",0.993,NA,0.877,0.981,0.787,0.423,0.415,0.779,0.899,0.518,0.775
"3",0.989,NA,0.899,0.973,0.88,0.596,0.861,0.865,0.9,0.904,0.984
"4",0.957,NA,0.94,0.987,0.929,0.689,0.99,0.891,0.879,0.907,0.99
"5",0.966,NA,0.992,0.951,0.85,0.73,0.983,0.84,0.872,0.964,0.984
"6",0.933,NA,0.951,0.835,0.851,0.723,0.982,0.798,0.833,0.941,0.93
"7",0.735,NA,0.857,0.826,0.82,0.7,0.948,0.738,0.761,0.914,0.881
"8",0.665,NA,0.812,0.976,0.765,0.645,0.82,0.705,0.629,0.894,0.799
"9",0.658,NA,0.618,0.94,0.663,0.599,0.606,0.626,0.525,0.686,0.704
"10",0.557,NA,0.67,0.971,0.744,0.583,0.508,0.731,0.382,0.705,0.637
"11",0.484,NA,0.546,0.901,0.712,0.563,0.382,0.721,0.346,0.817,0.596
"12",0.613,NA,0.494,0.762,0.611,0.638,0.36,0.666,0.818,0.745,0.782
"13",0.799,NA,0.756,0.789,0.644,0.799,0.548,0.789,0.803,0.843,0.839
"14",0.939,NA,0.889,0.681,0.629,0.865,0.616,0.802,0.706,0.932,0.892
"15",0.801,NA,0.925,0.502,0.543,0.843,0.59,0.783,0.717,0.965,0.901
"16",0.723,NA,0.974,0.397,0.512,0.827,0.567,0.706,0.63,0.898,0.903
"17",0.647,NA,0.966,0.406,0.551,0.783,0.508,0.582,0.681,0.904,0.872
"18",0.61,NA,0.95,0.937,0.759,0.753,0.457,0.762,0.581,0.907,0.826
"19",0.517,NA,0.77,0.897,0.786,0.705,0.422,0.756,0.338,0.789,0.765
"20",0.218,NA,0.662,0.726,0.714,0.638,0.349,0.677,0.202,0.587,0.693
"21",0.169,NA,0.661,0.595,0.568,0.561,0.234,0.531,0.18,0.375,0.586
"22",0.145,NA,0.601,0.412,0.398,0.471,0.1,0.414,0.109,0.292,0.47
"23",0.158,NA,0.538,0.314,0.282,0.443,0.134,0.321,0.161,0.196,0.448
"24",0.289,NA,0.676,0.287,0.272,0.35,0.1,0.3,0.273,0.292,0.392
"25",0.403,0.17,0.833,0.349,0.253,0.329,0.214,0.374,0.43,0.354,0.426
"26",0.618,0.275,0.853,0.579,0.337,0.364,0.298,0.463,0.578,0.604,0.504
"27",0.803,0.358,0.936,0.873,0.406,0.404,0.389,0.619,0.822,0.708,0.529
"28",0.937,0.469,0.998,0.999,0.587,0.459,0.668,0.745,0.891,0.707,0.556
"29",0.911,0.49,0.982,0.988,0.714,0.465,0.72,0.718,0.868,0.651,0.518
"30",0.838,0.458,0.972,0.988,0.867,0.463,0.725,0.818,0.772,0.805,0.485
"31",0.694,0.451,0.906,0.989,0.906,0.446,0.655,0.913,0.67,0.8,0.43
"32",0.665,0.447,0.746,0.992,0.855,0.41,0.579,0.854,0.543,0.685,0.366
"33",0.589,0.458,0.781,0.963,0.838,0.365,0.486,0.823,0.552,0.584,0.302
"34",0.566,0.507,0.772,0.991,0.835,0.337,0.431,0.813,0.415,0.405,0.249
"35",0.411,0.529,0.801,0.975,0.661,0.326,0.374,0.74,0.392,0.375,0.213
"36",0.382,0.797,0.789,0.787,0.534,0.378,0.368,0.688,0.282,0.306,0.297
"37",0.275,0.89,0.782,0.647,0.525,0.4,0.292,0.638,0.191,0.19,0.275
"38",0.301,0.931,0.776,0.373,0.483,0.399,0.16,0.538,0.251,0.334,0.214
"39",0.142,0.995,0.838,0.313,0.518,0.375,0.235,0.484,0.261,0.432,0.188
"40",0.23,0.991,0.848,0.302,0.487,0.37,0.353,0.455,0.201,0.533,0.18
"41",0.161,0.927,0.837,0.283,0.452,0.366,0.412,0.404,0.205,0.39,0.153
"42",0.176,0.798,0.814,0.684,0.508,0.365,0.433,0.425,0.144,0.143,0.121
"43",0.149,0.752,0.759,0.803,0.445,0.363,0.334,0.384,0.116,0.216,0.094
"44",0.222,0.567,0.69,0.663,0.337,0.348,0.235,0.332,0.152,0.201,0.073
"45",0.163,0.449,0.641,0.644,0.337,0.285,0.168,0.249,0.121,0.185,0.051
"46",0.143,0.303,0.501,0.527,0.285,0.204,0.139,0.176,0.109,0.109,0.029
"47",0.244,0.261,0.456,0.197,0.205,0.156,0.124,0.155,0.159,0.226,0.043
"48",0.195,0.38,0.562,0.232,0.194,0.165,0.14,0.211,0.116,0.578,0.102
"49",0.212,0.322,0.527,0.224,0.19,0.129,0.11,0.213,0.236,0.518,0.105
"50",0.349,0.308,0.82,0.315,0.267,0.159,0.126,0.338,0.412,0.438,0.177
"51",0.528,0.501,0.887,0.356,0.334,0.218,0.164,0.5,0.536,0.561,0.308
"52",0.641,0.663,0.904,0.311,0.361,0.266,0.274,0.505,0.605,0.623,0.367
"53",0.693,0.718,0.982,0.328,0.41,0.299,0.34,0.504,0.638,0.549,0.373
"54",0.7,0.684,0.988,0.323,0.438,0.312,0.379,0.472,0.64,0.368,0.351
"55",0.548,0.617,0.962,0.994,0.6,0.319,0.42,0.522,0.534,0.362,0.319
"56",0.532,0.53,0.867,0.884,0.626,0.325,0.399,0.481,0.477,0.312,0.274
"57",0.496,0.432,0.885,0.908,0.725,0.322,0.341,0.597,0.367,0.307,0.221
"58",0.446,0.285,0.672,0.983,0.834,0.291,0.292,0.683,0.433,0.248,0.138
"59",0.516,0.203,0.798,0.949,0.944,0.293,0.253,0.865,0.633,0.329,0.08
"60",0.99,0.211,0.751,0.919,0.868,0.309,0.24,0.841,0.872,0.441,0.07
"61",0.97,0.41,0.623,0.833,0.792,0.411,0.341,0.854,0.908,0.923,0.226
"62",0.993,0.498,0.828,0.97,0.948,0.447,0.443,0.844,0.897,0.809,0.299
"63",0.941,0.608,0.902,0.978,0.959,0.487,0.605,0.935,0.889,0.917,0.361
"64",0.962,0.614,0.833,0.96,0.897,0.487,0.593,0.882,0.929,0.894,0.375
"65",0.882,0.577,0.911,0.999,0.903,0.48,0.521,0.874,0.912,0.935,0.367
"66",0.788,0.496,0.99,0.98,0.913,0.47,0.514,0.861,0.811,0.864,0.353
"67",0.676,0.438,0.915,0.988,0.89,0.452,0.47,0.798,0.617,0.77,0.318
"68",0.5,0.386,0.823,0.979,0.865,0.413,0.431,0.789,0.576,0.509,0.271
"69",0.417,0.329,0.679,0.991,0.831,0.372,0.354,0.749,0.45,0.377,0.215
"70",0.343,0.269,0.662,0.851,0.795,0.335,0.26,0.744,0.393,0.404,0.157
"71",0.314,0.268,0.572,0.603,0.712,0.333,0.2,0.702,0.52,0.405,0.161
"72",0.441,0.36,0.546,0.568,0.587,0.357,0.214,0.609,0.666,0.454,0.248
"73",0.662,0.402,0.807,0.695,0.628,0.356,0.201,0.697,0.677,0.557,0.285
"74",0.74,0.548,0.923,0.83,0.588,0.372,0.22,0.767,0.805,0.645,0.327
"75",0.791,0.639,0.938,0.645,0.618,0.36,0.23,0.701,0.782,0.708,0.334
"76",0.784,0.668,0.98,0.628,0.673,0.35,0.276,0.67,0.762,0.673,0.319
"77",0.653,0.673,0.971,0.904,0.804,0.342,0.348,0.821,0.748,0.546,0.303
"78",0.562,0.649,0.988,0.922,0.89,0.327,0.42,0.876,0.576,0.377,0.269
"79",0.503,0.605,0.869,0.813,0.841,0.309,0.437,0.827,0.345,0.33,0.227
"80",0.292,0.555,0.759,0.751,0.735,0.291,0.301,0.737,0.173,0.331,0.183
"81",0.11,0.462,0.523,0.495,0.481,0.23,0.141,0.657,0.071,0.244,0.134
"82",0.161,0.34,0.52,0.417,0.382,0.131,0.084,0.501,0.146,0.141,0.082
"83",0.206,0.278,0.538,0.843,0.478,0.104,0.107,0.493,0.318,0.155,0.078
"84",0.527,0.461,0.576,0.83,0.58,0.129,0.163,0.448,0.564,0.508,0.178
"85",0.56,0.531,0.755,0.857,0.717,0.144,0.297,0.685,0.77,0.812,0.259
"86",0.716,0.677,0.793,0.978,0.674,0.165,0.4,0.771,0.889,0.848,0.349
"87",0.798,0.781,0.962,0.993,0.732,0.21,0.504,0.782,0.72,0.865,0.457
"88",0.559,0.851,0.895,0.938,0.768,0.221,0.632,0.788,0.616,0.86,0.483
"89",0.446,0.872,0.852,0.848,0.739,0.22,0.689,0.714,0.429,0.686,0.482
"90",0.382,0.834,0.824,0.793,0.73,0.212,0.632,0.655,0.289,0.588,0.462
"91",0.224,0.664,0.783,0.621,0.597,0.23,0.406,0.488,0.189,0.637,0.428
"92",0.197,0.465,0.743,0.55,0.433,0.237,0.275,0.341,0.102,0.475,0.39
"93",0.121,0.38,0.681,0.427,0.354,0.173,0.233,0.236,0.217,0.184,0.351
"94",0.257,0.323,0.541,0.543,0.243,0.138,0.114,0.206,0.387,0.278,0.326
"95",0.315,0.53,0.584,0.546,0.169,0.188,0.176,0.181,0.373,0.453,0.428
"96",0.233,0.661,0.519,0.446,0.176,0.238,0.3,0.174,0.29,0.273,0.522
"97",0.21,0.549,0.531,0.292,0.149,0.259,0.255,0.152,0.244,0.405,0.573
"98",0.27,0.416,0.641,0.197,0.184,0.293,0.202,0.136,0.76,0.75,0.636
"99",0.406,0.497,0.877,0.367,0.291,0.363,0.258,0.208,0.897,0.846,0.765
"100",0.583,0.693,0.872,0.43,0.335,0.39,0.364,0.234,0.907,0.787,0.812
"101",0.588,0.78,0.936,0.44,0.374,0.414,0.444,0.256,0.892,0.794,0.832
"102",0.377,0.812,0.922,0.713,0.452,0.425,0.475,0.367,0.699,0.751,0.795
"103",0.363,0.726,0.895,0.738,0.472,0.424,0.434,0.433,0.428,0.524,0.74
"104",0.287,0.545,0.721,0.44,0.475,0.375,0.314,0.437,0.263,0.502,0.677
"105",0.205,0.379,0.593,0.254,0.377,0.303,0.231,0.358,0.143,0.377,0.609
"106",0.18,0.244,0.492,0.175,0.223,0.236,0.138,0.185,0.173,0.21,0.54
"107",0.26,0.16,0.525,0.21,0.247,0.156,0.123,0.198,0.204,0.183,0.5
"108",NA,0.195,0.527,0.383,0.175,0.128,0.166,0.301,NA,0.278,0.57
